gene,flag,template,start,mapq,cigar,RS_signal,annotation,length,functionality,causes
IGKV1-25*01_P_V-REGION_283nt,0,IGK_chr11_47.1_47.5Mb,111593,255,283M,T,IGKV1-28,283,P,"frameshift in L-PART1, in frame STOP-CODON in V-REGION，deletion in L-PART1"
IGKV3-24*01_P_V-REGION_286nt,0,IGK_chr11_47.1_47.5Mb,116282,255,286M,T,IGKV3-27,286,P,in frame STOP-CODON in V-REGION
IGKV2-23*01_P_V-REGION_302nt,0,IGK_chr11_47.1_47.5Mb,137230,255,302M,T,IGKV2-26,302,P,Frameshift in L-PART1
IGKV2-22*01_P_V-REGION_302nt,0,IGK_chr11_47.1_47.5Mb,160516,255,302M,T,IGKV2-25,302,P,in frame STOP-CODON in V-REGION
IGKV1-21*01_P_V-REGION_285nt,0,IGK_chr11_47.1_47.5Mb,166116,255,285M,T,IGKV1-24,285,P,"frameshift in L-PART1, no ACCEPTOR-SPLICE, in frame STOP-CODON in V-REGION"
IGKV(II)-20*01_P_V-REGION_294nt,0,IGK_chr11_47.1_47.5Mb,170270,255,294M,F,IGKV(II)-23,294,P,"no L-PART1, in frame STOP-CODON in V-REGION, no V-RS"
IGKV2-19*01_P_V-REGION_301nt,0,IGK_chr11_47.1_47.5Mb,172739,36,301M,T,IGKV2-22,301,P,STOP-CODION in L-PART1 and V-Region
IGKV2-18*01_F_V-REGION_299nt,0,IGK_chr11_47.1_47.5Mb,184052,21,299M,T,IGKV2-21,299,F,
IGKV(II)-17*01_P_V-REGION_284nt,0,IGK_chr11_47.1_47.5Mb,187980,36,284M,F,IGKV(II)-20,284,P,"no ACCEPTOR-SPLICE, no V-RS，stop codon in V-REGION"
IGKV2-13*01_P_V-REGION_303nt,256,IGK_chr11_47.1_47.5Mb,191095,255,303M,T,IGKV2-19,303,P,STOP-CODION in V-Region
IGKV2-12*01_ORF_V-REGION_302nt,256,IGK_chr11_47.1_47.5Mb,202345,255,302M,T,IGKV2-18,302,F,
IGKV(II)-11*01_P_V-REGION_285nt,256,IGK_chr11_47.1_47.5Mb,205973,255,285M,F,IGKV(II)-17,285,P,"in frame STOP-CODON in V-REGION, no V-RS"
IGKV2-13*01_P_V-REGION_303nt,0,IGK_chr11_47.1_47.5Mb,209051,30,303M,T,IGKV2-16,303,P,"frameshift in L-PART2, in frame STOP-CODON in V-REGION"
IGKV2-12*01_ORF_V-REGION_302nt,256,IGK_chr11_47.1_47.5Mb,220428,255,302M,T,IGKV2-15,302,F,
IGKV(II)-11*01_P_V-REGION_285nt,256,IGK_chr11_47.1_47.5Mb,224392,255,21M1D185M1D79M,F,IGKV(II)-14,285,P,"STOP-CODION in V-Region, no V-RS"
IGKV2-13*01_P_V-REGION_303nt,256,IGK_chr11_47.1_47.5Mb,227499,255,303M,T,IGKV2-13,303,P,STOP-CODION in V-Region
IGKV2-12*01_ORF_V-REGION_302nt,0,IGK_chr11_47.1_47.5Mb,238900,25,302M,T,IGKV2-12,302,ORF,(no conserved-TRP??)
IGKV(II)-11*01_P_V-REGION_285nt,0,IGK_chr11_47.1_47.5Mb,243694,36,285M,F,IGKV(II)-11,285,P,"in frame STOP-CODON in V-REGION, no V-RS"
IGKV2-10*01_P_V-REGION_302nt,0,IGK_chr11_47.1_47.5Mb,246794,21,302M,T,IGKV2-10,302,P,frameshift in V-region，stop codon in L2
IGKV2-12*01_ORF_V-REGION_302nt,256,IGK_chr11_47.1_47.5Mb,254180,255,302M,T,IGKV2-9,302,F,
IGKV(II)-11*01_P_V-REGION_285nt,256,IGK_chr11_47.1_47.5Mb,257453,255,21M1D135M1I128M,F,IGKV(II)-8,285,P,"STOP-CODION in V-Region, no V-RS"
IGKV2-10*01_P_V-REGION_302nt,256,IGK_chr11_47.1_47.5Mb,260571,255,17M1D89M1I195M,T,IGKV2-7,302,P,frameshift in L-PART1
IGKV2-12*01_ORF_V-REGION_302nt,256,IGK_chr11_47.1_47.5Mb,271336,255,302M,T,IGKV2-6,302,F,
IGKV1-5*01_P_V-REGION_286nt,0,IGK_chr11_47.1_47.5Mb,275599,255,286M,T,IGKV1-5,286,P,STOP-CODION in V-Region
IGKV1-4*01_F_V-REGION_287nt,0,IGK_chr11_47.1_47.5Mb,286676,255,287M,T,IGKV1-4,287,F,
IGKV8-3*01_F_V-REGION_287nt,0,IGK_chr11_47.1_47.5Mb,302816,255,287M,T,IGKV8-3,287,F,
IGKV(II)-2*01_P_V-REGION_138nt,16,IGK_chr11_47.1_47.5Mb,308506,255,138M,F,IGKV(II)-2,138,P,truncated
IGKV1-1*01_ORF_V-REGION_287nt,0,IGK_chr11_47.1_47.5Mb,311595,255,287M,T,IGKV1-1,287,ORF,"noncanonical DONOR-SPPLICE, noncanonical ACCEPTOR-SPLICE，noncanonical NONAMER"
IGKJ1*01_ORF_J-REGION_38nt,0,IGK_chr11_47.1_47.5Mb,320519,255,38M,F,IGKJ1,38,ORF,"noncanonical J-NONAMER, noncanonical J-MOTIF"
IGKJ2*01_F_J-REGION_39nt,0,IGK_chr11_47.1_47.5Mb,320879,255,39M,T,IGKJ2,39,F,
IGKJ3*01_ORF_J-REGION_38nt,0,IGK_chr11_47.1_47.5Mb,321184,255,38M,F,IGKJ3,38,ORF,noncanonical J-MOTIF and noncanonical J-NONAMER
IGKJ4*01_ORF_J-REGION_38nt,0,IGK_chr11_47.1_47.5Mb,321529,255,38M,T,IGKJ4,38,ORF,noncanonical J-HEPTAMER and noncanonical J-MOTIF
IGKJ5*01_ORF_J-REGION_38nt,0,IGK_chr11_47.1_47.5Mb,321842,255,38M,F,IGKJ5,38,ORF,noncanonical J-HEPTAMER and noncanonical J-NONAMER
IGKC*01_F_C-REGION_324nt,0,IGK_chr11_47.1_47.5Mb,325378,255,324M,NA,IGKC,324,F,
