gene,flag,template,start,mapq,cigar,annotation,length,functionality,causes
TRGC6*01_F_EX3_141nt,16,chr04,50078423,255,141M,TRGC6_EX3,141,F,
TRGC6*02_F_EX2C_42nt,16,chr04,50082071,255,42M,TRGC6_EX2C,42,F,
TRGC6*01_F_EX2B_48nt,16,chr04,50082397,255,48M,TRGC6_EX2B,48,F,
TRGC6*01_F_EX2A_60nt,16,chr04,50082952,255,60M,TRGC6_EX2A,60,F,
TRGC6*01_F_EX1_330nt,16,chr04,50088837,255,330M,TRGC6_EX1,330,F,
TRGJ6-1*01_F_J-REGION_50nt,16,chr04,50094037,255,50M,TRGJ6-1,50,F,
TRGV6-1*01_F_V-REGION_298nt,16,chr04,50104084,6,298M,TRGV6-2,298,F,
TRGC2*01_F_EX3_144nt,16,chr04,50112938,18,144M,TRGC2_EX3,144,F,
TRGC2*01_F_EX2C_39nt,272,chr04,50115212,255,39M,TRGC2_EX2C,39,F,
TRGC1*01_F_EX2B_48nt,272,chr04,50117901,255,48M,TRGC2_EX2B,48,F,
TRGC2*01_F_EX2A_75nt,16,chr04,50118223,255,75M,TRGC2_EX2A,75,F,
TRGC1*01_F_EX1_330nt,16,chr04,50121061,6,330M,TRGC2_EX1,330,F,
TRGJ1-2*01_F_J-REGION_50nt,272,chr04,50124739,255,50M,TRGJ2-2,50,ORF,no FGXG motif (FNVG)
TRGJ1-1*01_F_J-REGION_60nt,272,chr04,50127715,255,60M,TRGJ2-1,60,F,
TRGV5-1*05_(F)_V-REGION_285nt,272,chr04,50144515,255,285M,TRGV5-2,285,F,1st-CYS in position 19
TRGV6-1*01_F_V-REGION_298nt,272,chr04,50155358,255,298M,TRGV6-1,298,F,
TRGC1*03_F_EX3_126nt,16,chr04,50164084,17,126M,TRGC1_EX3,126,F,
TRGC1*01_F_EX2C_39nt,272,chr04,50166325,255,39M,TRGC1_EX2C,39,F,
TRGC1*01_F_EX2B_48nt,16,chr04,50168307,14,48M,TRGC1_EX2B,48,F,
TRGC1*01_F_EX2A_105nt,16,chr04,50168642,255,105M,TRGC1_EX2A,105,F,
TRGC1*01_F_EX1_330nt,272,chr04,50171065,255,330M,TRGC1_EX1,330,F,
TRGJ1-2*01_F_J-REGION_50nt,272,chr04,50174409,255,50M,TRGJ1-2,50,ORF,no FGXG motif (FNVG)
TRGJ1-1*01_F_J-REGION_60nt,272,chr04,50177379,255,60M,TRGJ1-1,60,F,
TRGV5-2*01_(F)_V-REGION_285nt,272,chr04,50184138,255,285M,TRGV5-1,285,F,1st-CYS in position 19
