gene,flag,template,start,mapq,cigar,annotation,length,functionality,causes
TRAC*02_F_EX4UTR_511nt,16,chr10,22207016,255,511M,TRAC_EX4UTR,511,F,
TRAC*01_F_EX3_108nt,16,chr10,22208184,255,108M,TRAC_EX3,108,F,
TRAC*01_F_EX2_45nt,16,chr10,22209609,255,45M,TRAC_EX2,45,F,
TRAC*01_F_EX1_273nt,16,chr10,22211672,255,273M,TRAC_EX1,273,F,
TRAJ1*01_F_J-REGION_62nt,16,chr10,22215315,255,62M,TRAJ1,62,F,
TRAJ2*01_F_J-REGION_66nt,16,chr10,22216282,255,66M,TRAJ2,66,F,
TRAJ3*01_F_J-REGION_59nt,16,chr10,22216828,255,59M,TRAJ3,59,F,
TRAJ4*01_F_J-REGION_63nt,16,chr10,22217798,255,63M,TRAJ4,63,F,
TRAJ5*01_F_J-REGION_60nt,16,chr10,22220987,255,60M,TRAJ5,60,F,
TRAJ6*01_F_J-REGION_62nt,16,chr10,22222175,255,62M,TRAJ6,62,F,
TRAJ7*01_F_J-REGION_56nt,16,chr10,22222756,255,56M,TRAJ7,56,F,
TRAJ8*01_F_J-REGION_60nt,16,chr10,22224301,39,60M,TRAJ8,60,F,
TRAJ9*01_F_J-REGION_61nt,16,chr10,22224890,255,61M,TRAJ9,61,F,
TRAJ10*02_F_J-REGION_60nt,16,chr10,22227088,39,60M,TRAJ10,60,F,
TRAJ11*01_F_J-REGION_63nt,16,chr10,22227547,255,63M,TRAJ11,63,F,
TRAJ12*02_F_J-REGION_60nt,16,chr10,22228558,255,60M,TRAJ12,60,F,
TRAJ13*01_F_J-REGION_60nt,16,chr10,22229119,255,60M,TRAJ13,60,F,
TRAJ14*01_P_J-REGION_61nt,16,chr10,22229977,255,61M,TRAJ14,61,F,
TRAJ15*01_P_J-REGION_57nt,16,chr10,22230694,255,57M,TRAJ15,57,ORF,noncanonical J-NONAMER， no FGXG
TRAJ16*01_F_J-REGION_60nt,16,chr10,22231586,255,60M,TRAJ16,60,F,
TRAJ17*01_F_J-REGION_61nt,16,chr10,22232681,255,61M,TRAJ17,61,F,
TRAJ18*01_F_J-REGION_63nt,16,chr10,22234298,255,63M,TRAJ18,63,F,
TRAJ19*01_F_J-REGION_66nt,16,chr10,22235405,255,66M,TRAJ19,66,F,
TRAJ20*01_P_J-REGION_58nt,16,chr10,22235797,255,58M,TRAJ20,58,P,no J-NONAMER
TRAJ21*01_F_J-REGION_58nt,16,chr10,22236763,255,58M,TRAJ21,58,F,
TRAJ22*01_F_J-REGION_55nt,16,chr10,22237474,255,55M,TRAJ22,55,F,
TRAJ23*01_F_J-REGION_63nt,16,chr10,22238998,255,63M,TRAJ23,63,F,
TRAJ24*01_F_J-REGION_63nt,16,chr10,22240117,255,63M,TRAJ24,63,F,
TRAJ25*01_F_J-REGION_63nt,16,chr10,22240558,255,63M,TRAJ25,63,F,
TRAJ26*01_F_J-REGION_60nt,16,chr10,22241413,255,60M,TRAJ26,60,F,
TRAJ27*01_ORF_J-REGION_60nt,16,chr10,22241711,255,60M,TRAJ27,60,ORF,noncanonical J-MOTIF; NO FGXG
TRAJ28*01_F_J-REGION_59nt,16,chr10,22243879,255,59M,TRAJ28,59,F,
TRAJ29*01_F_J-REGION_66nt,16,chr10,22244527,255,66M,TRAJ29,66,F,
TRAJ30*01_F_J-REGION_60nt,16,chr10,22245518,255,60M,TRAJ30,60,F,
TRAJ31*01_F_J-REGION_59nt,16,chr10,22246581,255,59M,TRAJ31,59,F,
TRAJ32*02_F_J-REGION_58nt,16,chr10,22248675,255,58M,TRAJ32,58,F,
TRAJ33*01_F_J-REGION_66nt,16,chr10,22250480,255,66M,TRAJ33,66,F,
TRAJ34*01_F_J-REGION_57nt,16,chr10,22251224,255,57M,TRAJ34,57,ORF,noncanonical J-MOTIF; NO FGXG
TRAJ35*01_F_J-REGION_57nt,16,chr10,22251914,255,57M,TRAJ35,57,F,
TRAJ36*01_ORF_J-REGION_56nt,16,chr10,22252944,255,56M,TRAJ36,56,ORF,noncanonical J-MOTIF; NO FGXG
TRAJ37*01_F_J-REGION_61nt,16,chr10,22254413,255,61M,TRAJ37,61,F,
TRAJ38*02_F_J-REGION_62nt,16,chr10,22255125,255,62M,TRAJ38,62,F,
TRAJ39*01_F_J-REGION_62nt,16,chr10,22256628,255,62M,TRAJ39,62,ORF,noncanonical J-MOTIF; NO FGXG
